ptt,naziv
78101,Banjaluka
78220,Kotor Varoš
78230,Kneževo
78240,Čelinac
78250,Laktaši
70206,Jezero
70260,Mrkonjić Grad
70270,Šipovo
70273,Novo Selo(Kupres)
79288,Gornji Ribnik(Ribnik)
78400,Gradiška
78420,Srbac
78430,Prnjavor
79290,Drinić(Petrovac)
79291,Potoci(Istočni Drvar)
76300,Bijeljina
76330,Ugljevik
75240,Lopare
76101,Brčko
76230,Šamac
76256,Pelagićevo
76273,Donji Žabar
74101,Doboj
74208,Stanari
74270,Teslić
74400,Derventa
74450,Brod
74470,Vukosavlje
74480,Modriča
74317,Petrovo
75400,Zvornik
75406,Osmaci
75420,Bratunac
75430,Srebrenica
75440,Vlasenica
75446,Milići
75450,Šekovići
79101,Prijedor
79220,Novi Grad
79224,Kostajnica
79227,Donji Dubovik(Krupa na Uni)	
79240,Kozarska Dubica
79263,Oštra Luka
71123,Istočno Sarajevo
71126,Lukavica,(Istočno Novo Sarajevo)
71216,Kula(Istočna Ilidža)	
71144,Hreša(Istočni Stari Grad)	
71220,Trnovo
71230,Kalinovik
71350,Sokolac
71360,Han Pijesak
71420,Pale
89101,Trebinje
89230,Bileća
89240,Gacko
88280,Nevesinje
88363,Berkovići
88380,Ljubinje
88280,Zijemlje(Istočni Mostar)
73301,Foča
73110,Novo Goražde
73220,Rogatica
73240,Višegrad
73260,Rudo
73280,Čajniče
