naziv,slika,vrsta,igrivost,
PlayerUnknown's Battlegrounds,Pubg.jpg,"Pucacina, Bitka do poslednjeg",Multiplayer,
Minecraft,Minecraft.jpg,"Sandbox, Prezivljavanje","Singleplayer, Multiplayer",
Diablo III,DiabloIII.jpg,"Akciona, Igranje uloga","Singleplayer, Multiplayer",
Garry's Mod,Garry'sMod.jpg,Prezivljavanje,"Singleplayer, Multiplayer",
Terraria,terraria.jpg,"Akciona, Avantura","Singleplayer, Multiplayer ",
World of Warcraft,WoW.jpg,MMORPG,Multiplayer,
Half-Life 2,Half-Life_2.jpg,Pucacina iz prvog lica,Singleplayer ,
The Witcher 3: Wild Hunt,Witcher-3-Wild-Hunt.jpg,"Akciona, Igranje uloga",Singleplayer ,
The Sims,Sims1.jpg,Simulacija zivota,Singleplayer,
StarCraft,StarCraft.jpg,Strategija u realnom vremenu,Multiplayer,
RollerCoaster Tycoon 3,RollerCoasterTaycoon3.jpg,Simulacija izgradnje i upravljanja,Singleplayer,
Fall Guys,FallGuys.jpg,Bitka do poslednjeg,Multiplayer,
Half-Life,Half-Life_1.jpg,Pucacina iz prvog lica,Singleplayer,
Rust,Rust.jpg,Prezivljavanje,Multiplayer,
Civilization V,civilization-v.jpg,"Potezna strategija, 4X","Singleplayer, Multiplayer ",
The Sims 3,thesims3.jpg,Simulacija zivota,Singleplayer,
Euro Truck Simulator 2,euro-truck-simulator-2.jpg,Simulacija voznje,Multiplayer,
Myst,Mist.jpg,"Avantura, puzle",Singleplayer,
The Sims 2,The_Sims_2.jpg,Simulacija zivota,Multiplayer,
Guild Wars,GuildWars.jpg,MMORPG,Multiplayer,
StarCraft II: Wings of Liberty,StarCraft_II_-_Legacy_of_the_Void.jpg,Strategija u realnom vremenu,Multiplayer,
Valheim,,Prezivljavanje,Multiplayer,
Last Ninja 2,,"Akciona, Avantura",Singleplayer,
ARMA 3,,Takticka pucacina,Multiplayer,
SimCity 3000,,Gradjenje grada,Singleplayer,
Guild Wars 2,,MMORPG,Multiplayer,
Cities: Skylines,,Gradjenje grada,Singleplayer,
The Forest,,Prezivljavanje,Multiplayer,
Cyberpunk 2077,,"Akciona, Igranje uloga",Singleplayer,
The Last Ninja,,"Akciona, Avantura",Singleplayer,
Riven,,Graficka avantura,Singleplayer,
Diablo II,,"Akciona, Igranje uloga","Singleplayer, Multiplayer",
DayZ,,Prezivljavanje,Multiplayer,
Where in the World Is Carmen Sandiego?,,Obrazovna,Singleplayer,
Populous,,Igra bogova,"Singleplayer,Multiplayer",
RollerCoaster Tycoon,,Simulacija gradjenja i upravljanja,Singleplayer,
"Warhammer 40,000: Dawn of War (including expansions)",,Strategija u realnom vremenu,Multiplayer,
Dark Souls,,"Akciona, Igranje uloga","Singleplayer, Multiplayer",
Dark Souls III,,"Akciona, Igranje uloga",Multiplayer,
Theme Park,,Simulacija gradjenja i upravljanja,Singleplayer,
Command & Conquer,,Strategija u realnom vremenu,"Singleplayer, Multiplayer",
Command & Conquer: Red Alert,,Strategija u realnom vremenu,Multiplayer,
Age of Empires,,Strategija u realnom vremenu,Multiplayer,
EverQuest,,MMORPG,Multiplayer,
Warcraft III: Reign of Chaos,,Strategija u realnom vremenu,Multiplayer,
Doom 3,,"Pucacina iz prvog lica, Prezivljavanje horror",Multiplayer,
Civilization IV,,"Potezna strategija, 4X",Multiplayer,
Crysis,,Pucacina iz prvog lica,"Singleplayer, Multiplayer",
Life Is Strange,,Graficka avantura,Singleplayer,
Dark Souls II,,"Akciona, Igranje uloga",Multiplayer,
Lords of the Realm II,,Potezna strategija,Multiplayer,
Caesar II,,Gradjenje grada game,Singleplayer,
Caesar III,,Gradjenje grada game,Singleplayer ,
Factorio,,Simulacija gradjenja i upravljanjam,"Singleplayer, Multiplayer",
Final Fantasy VII,,Igranje uloga,Singleplayer,
Grand Theft Auto V,,"Akciona, Avantura","Singleplayer,Multiplayer",
Doom,,Pucacina iz prvog lica,Multiplayer,
Doom II: Hell on Earth,,Pucacina iz prvog lica,Multiplayer,
Warcraft II: Tides of Darkness,,Strategija u realnom vremenu,Multiplayer,
Diablo,,"Akciona, Igranje uloga","Singleplayer, Multiplayer",
POD,,Trke,Singleplayer,
Anno 1602,,Gradjenje grada,"Singleplayer, Multiplayer",
Baldur's Gate,,Igranje uloga,,
Age of Empires II: The Age of Kings,,Strategija u realnom vremenu,,
